"filename", "language", "Terraform", "JSON", "SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\api.tf", "Terraform", 70, 0, 0, 0, 18, 26, 114
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\functions.tf", "Terraform", 32, 0, 0, 0, 111, 9, 152
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\confirm_user\index.js", "JavaScript", 0, 0, 0, 52, 0, 10, 62
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\confirm_user\package-lock.json", "JSON", 0, 27, 0, 0, 0, 1, 28
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\confirm_user\package.json", "JSON", 0, 15, 0, 0, 0, 1, 16
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\confirm_user\utils.js", "JavaScript", 0, 0, 0, 27, 2, 7, 36
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\create_user\index.js", "JavaScript", 0, 0, 0, 123, 0, 16, 139
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\create_user\package.json", "JSON", 0, 15, 0, 0, 0, 1, 16
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\create_user\utils.js", "JavaScript", 0, 0, 0, 27, 2, 7, 36
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\login\index.js", "JavaScript", 0, 0, 0, 98, 0, 16, 114
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\login\package.json", "JSON", 0, 16, 0, 0, 0, 1, 17
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\lambdas\login\utils.js", "JavaScript", 0, 0, 0, 27, 2, 7, 36
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\main.tf", "Terraform", 20, 0, 0, 0, 0, 1, 21
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\schema.sql", "SQL", 0, 0, 32, 0, 0, 4, 36
"c:\Users\14434\source\repos\ChiaNetwork\dlstorage\modules\service.user\variables.tf", "Terraform", 13, 0, 0, 0, 0, 0, 13
"Total", "-", 135, 73, 32, 354, 135, 107, 836